"table_id","name","family_name","birthday","phone","department","type","basic_salary","factor","wage","hours","percent","sales"
"1001","Name 1001","Family_Name 1001","1965-1-9","+976106313","QA","Manager","46846","4.660735",,,,
"1002","Name 1002","Family_Name 1002","1986-9-26","+789404282","QA","Employee","29289",,,,,
"1003","Name 1003","Family_Name 1003","2004-12-23","+688177067","QA","Employee","53631",,,,,
"1004","Name 1004","Family_Name 1004","1991-8-6","+706385765","QA","WageEmployee","52733",,"235","77",,
"1005","Name 1005","Family_Name 1005","1990-8-2","+707939290","QA","WageEmployee","22220",,"275","17",,
"1006","Name 1006","Family_Name 1006","1991-7-25","+772606863","QA","WageEmployee","38417",,"283","181",,
"1007","Name 1007","Family_Name 1007","2000-12-20","+227787215","QA","WageEmployee","28261",,"153","177",,
"1008","Name 1008","Family_Name 1008","1985-6-15","+404680529","QA","WageEmployee","12703",,"57","60",,
"1009","Name 1009","Family_Name 1009","1998-3-9","+499060766","QA","WageEmployee","47020",,"188","55",,
"1010","Name 1010","Family_Name 1010","1961-8-11","+521544729","QA","WageEmployee","21083",,"277","126",,
"1011","Name 1011","Family_Name 1011","1986-9-5","+576369712","QA","WageEmployee","29024",,"209","135",,
"1012","Name 1012","Family_Name 1012","1989-10-12","+592634398","QA","WageEmployee","15857",,"300","126",,
"1013","Name 1013","Family_Name 1013","1996-2-6","+333833946","QA","WageEmployee","23170",,"307","194",,
"1014","Name 1014","Family_Name 1014","1969-2-12","+196727468","Development","Manager","14563","1.8339108",,,,
"1015","Name 1015","Family_Name 1015","1963-11-18","+412690189","Development","WageEmployee","7793",,"260","63",,
"1016","Name 1016","Family_Name 1016","1962-1-4","+950805036","Development","WageEmployee","23819",,"148","77",,
"1017","Name 1017","Family_Name 1017","1971-10-24","+666730761","Development","WageEmployee","51052",,"237","142",,
"1018","Name 1018","Family_Name 1018","1970-9-2","+127784179","Development","WageEmployee","37498",,"233","43",,
"1019","Name 1019","Family_Name 1019","1988-7-21","+920029938","Development","WageEmployee","11567",,"277","173",,
"1020","Name 1020","Family_Name 1020","1997-3-5","+409437551","Development","WageEmployee","34380",,"209","75",,
"1021","Name 1021","Family_Name 1021","1969-7-4","+7110643","Development","WageEmployee","8601",,"205","45",,
"1022","Name 1022","Family_Name 1022","1968-10-21","+216061192","Development","WageEmployee","10916",,"142","200",,
"1023","Name 1023","Family_Name 1023","2002-11-3","+518710844","Development","WageEmployee","34938",,"95","102",,
"1024","Name 1024","Family_Name 1024","1968-5-19","+241633859","Development","WageEmployee","8960",,"61","195",,
"1025","Name 1025","Family_Name 1025","1990-1-13","+386301756","Development","WageEmployee","30546",,"312","190",,
"1026","Name 1026","Family_Name 1026","2003-4-22","+6775052","Development","WageEmployee","49872",,"67","105",,
"1027","Name 1027","Family_Name 1027","1992-3-7","+653870055","Development","WageEmployee","29499",,"252","192",,
"1028","Name 1028","Family_Name 1028","1978-11-1","+90392301","Development","WageEmployee","23253",,"166","29",,
"1029","Name 1029","Family_Name 1029","2002-4-13","+870399216","Development","WageEmployee","31045",,"140","0",,
"1030","Name 1030","Family_Name 1030","1991-11-14","+58277309","Development","WageEmployee","47492",,"140","108",,
"1031","Name 1031","Family_Name 1031","1963-6-12","+707389922","Development","WageEmployee","34199",,"178","130",,
"1032","Name 1032","Family_Name 1032","1977-3-14","+515155508","Development","WageEmployee","42882",,"245","118",,
"1033","Name 1033","Family_Name 1033","1962-2-18","+415141701","Development","WageEmployee","46710",,"215","84",,
"1034","Name 1034","Family_Name 1034","2001-5-10","+848251101","Development","WageEmployee","37104",,"29","20",,
"1035","Name 1035","Family_Name 1035","1962-7-13","+549480011","Development","WageEmployee","34034",,"142","21",,
"1036","Name 1036","Family_Name 1036","1993-6-10","+145868252","Development","WageEmployee","29551",,"290","21",,
"1037","Name 1037","Family_Name 1037","1978-5-13","+566948202","Development","WageEmployee","5118",,"295","84",,
"1038","Name 1038","Family_Name 1038","1961-1-23","+616609292","Development","WageEmployee","21169",,"42","60",,
"1039","Name 1039","Family_Name 1039","1989-12-17","+394033899","Development","WageEmployee","54590",,"110","17",,
"1040","Name 1040","Family_Name 1040","1979-12-20","+51138356","Development","WageEmployee","32106",,"222","65",,
"1041","Name 1041","Family_Name 1041","1975-11-23","+370781993","Development","WageEmployee","10610",,"270","64",,
"1042","Name 1042","Family_Name 1042","1983-5-21","+98403922","Development","WageEmployee","29408",,"311","92",,
"1043","Name 1043","Family_Name 1043","1963-7-24","+429140178","Development","WageEmployee","29377",,"185","8",,
"1044","Name 1044","Family_Name 1044","1999-8-17","+448949204","Development","WageEmployee","13413",,"206","22",,
"1045","Name 1045","Family_Name 1045","1971-10-20","+555211817","DevOps","Manager","28328","3.1208234",,,,
"1046","Name 1046","Family_Name 1046","1981-10-15","+313823569","DevOps","Employee","34760",,,,,
